Identification information,المعلومات اﻷساسية,
User,المستخدم,
Your Shortcuts,الاختصارات
Next,القادم
Previous,السابق
Teacher Form,استمارة تسجيل المعلمين
Current Country,الاقامة الحالية
Qualifications And Experience,المؤهلات والخبرة
Academic Qualification,المؤهل العلمي
Number of years of experience in teaching the Qur’an,عدد سنوات الخبرة في تدريس القرآن الكريم
Quran certificates,اﻹجازات في القران الكريم
Ten Readings,القراءات العشرة
Seven Readings,القراءات السبعة
Hafs,حفص
Warsh,ورش
Languages,اللغات
Arabic,العربية
English,الانجليزية
French,الفرنسية
Urdu,اﻷوردو
The level at which you wish to read and your test will be determined accordingly,سيتم تحديد المستوى الذي ترغب في القراءة به واختبارك وفقًا لذلك
Wish Ten Readings,القراءات العشرة
Wish Seven Readings,القراءات السبعة
Wish Hafs,حفص
Wish Warsh,ورش
Preferences,التفضيلات
Number of expected working hours per day,عدد ساعات العمل المتوقعة يوميا
Error,خطأ
High School,ثانوي
University,جامعي
Master's degree,ماجستير
Ph.D,دكتوراه
Teacher,المعلم
Father Name,اسم اﻷب
Mandatory fields required:,حقول مطلوبة
